sam_address_id,full_address,mailing_neighborhood,state,zip_code,x_coord,y_coord,recollect,trashday,pwd_district
360473,64 N Margin St #2,Boston,MA,2113.0,-71.05683042880499,42.36495951772371,MTH,MTH,1
161627,5 Arlington Ave,Charlestown,MA,2129.0,-71.0732782371042,42.3866365389512,,,
137637,556 Tremont St #2,Roxbury,MA,2118.0,-71.07156050943406,42.34369953868422,TF,TF,1
106435,51 Paragon Rd,West Roxbury,MA,2132.0,-71.16407088465033,42.26911967692239,F,F,6
321222,226 Tremont St #5,Boston,MA,2116.0,-71.06457047642726,42.35138952882381,MF,MF,1
220866,3 Cufflin St #1,Brighton,MA,2135.0,-71.17417072267226,42.351349672136685,TH,TH,4
290865,63 Parker Hill Ave Unit 426A,Mission Hill,MA,2120.0,-71.10906062297212,42.3305495900266,TF,TF,10
255036,311 Huntington Ave #4A,Boston,MA,2115.0,-71.08746455055538,42.34122155999717,TF,TF,10
263029,105 Lawrence Ave #2,Dorchester,MA,2121.0,-71.07496059071134,42.31067954646037,T,T,3
26993,64 W Cedar St #3,Boston,MA,2114.0,-71.07026747055528,42.35968453579677,MF,MF,1
420177,1 Franklin St #1909,Boston,MA,2110.0,-71.05952603039819,42.35577608942076,MF,MF,1
163452,17 Clarendon St,Boston,MA,2116.0,-71.07192643867185,42.34472637347548,TF,TF,1
218511,31 Coolidge Rd # 1,Allston,MA,2134.0,-71.12988760454614,42.35969461282176,F,F,4
93157,91-93 Maxwell St # 91-1,Dorchester,MA,2124.0,-71.08037066700226,42.28188955663349,W,W,7
51879,42 Eighth St #3414,Charlestown,MA,2129.0,-71.05239939683949,42.37483051096919,W1A,W,1A
178376,38 Annunciation Rd #A,Mission Hill,MA,2120.0,-71.09187057392047,42.33519956653839,TF,TF,10
333621,66 Webster St #2,East Boston,MA,2128.0,-71.03797138138027,42.36728349328946,W,W,9
337443,12 Wilton St # 3,Hyde Park,MA,2136.0,-71.12591084228583,42.24908963039331,T,T,8
225952,29 Doris St #3,Dorchester,MA,2125.0,-71.05772054526375,42.31367952274717,TH,TH,3
